time,CO2 IN PPM
1531211575,"704
"
time,CO2 IN PPM
1531211660,"694
"
time,CO2 IN PPM
1531211744,"705
"
time,CO2 IN PPM
1531211829,"703
"
time,CO2 IN PPM
1531211913,"700
"
time,CO2 IN PPM
1531211998,"695
"
time,CO2 IN PPM
1531212082,"701
"
time,CO2 IN PPM
1531212167,"730
"
time,CO2 IN PPM
1531212251,"708
"
time,CO2 IN PPM
1531212336,"700
"
time,CO2 IN PPM
1531212420,"741
"
time,CO2 IN PPM
1531212505,"750
"
time,CO2 IN PPM
1531212589,"733
"
time,CO2 IN PPM
1531212674,"718
"
time,CO2 IN PPM
1531212758,"755
"
time,CO2 IN PPM
1531212843,"752
"
time,CO2 IN PPM
1531212927,"725
"
time,CO2 IN PPM
1531213012,"714
"
time,CO2 IN PPM
1531213097,"699
"
time,CO2 IN PPM
1531213181,"744
"
time,CO2 IN PPM
1531213266,"714
"
time,CO2 IN PPM
1531213350,"726
"
time,CO2 IN PPM
1531213435,"721
"
time,CO2 IN PPM
1531213519,"716
"
time,CO2 IN PPM
1531213604,"744
"
time,CO2 IN PPM
1531213688,"723
"
time,CO2 IN PPM
1531213773,"722
"
time,CO2 IN PPM
1531213857,"723
"
time,CO2 IN PPM
1531213942,"719
"
time,CO2 IN PPM
1531214026,"740
"
time,CO2 IN PPM
1531214111,"708
"
time,CO2 IN PPM
1531214195,"712
"
time,CO2 IN PPM
1531214280,"709
"
time,CO2 IN PPM
1531214364,"711
"
time,CO2 IN PPM
1531214449,"719
"
time,CO2 IN PPM
1531214533,"717
"
time,CO2 IN PPM
1531214618,"718
"
time,CO2 IN PPM
1531214702,"747
"
time,CO2 IN PPM
1531214787,"721
"
time,CO2 IN PPM
1531214871,"705
"
time,CO2 IN PPM
1531214956,"697
"
time,CO2 IN PPM
1531215041,"724
"
time,CO2 IN PPM
1531215125,"706
"
time,CO2 IN PPM
1531215210,"716
"
time,CO2 IN PPM
1531215294,"722
"
time,CO2 IN PPM
1531215379,"710
"
time,CO2 IN PPM
1531215463,"706
"
time,CO2 IN PPM
1531215548,"711
"
time,CO2 IN PPM
1531215632,"705
"
time,CO2 IN PPM
1531215717,"699
"
time,CO2 IN PPM
1531215801,"699
"
time,CO2 IN PPM
1531215886,"689
"
time,CO2 IN PPM
1531215970,"691
"
time,CO2 IN PPM
1531216055,"685
"
time,CO2 IN PPM
1531216139,"703
"
time,CO2 IN PPM
1531216224,"699
"
time,CO2 IN PPM
1531216308,"694
"
time,CO2 IN PPM
1531216393,"672
"
time,CO2 IN PPM
1531216477,"688
"
time,CO2 IN PPM
1531216562,"681
"
time,CO2 IN PPM
1531216646,"670
"
time,CO2 IN PPM
1531216731,"684
"
time,CO2 IN PPM
1531216815,"670
"
time,CO2 IN PPM
1531216900,"683
"
time,CO2 IN PPM
1531216985,"680
"
time,CO2 IN PPM
1531217069,"699
"
time,CO2 IN PPM
1531217154,"718
"
time,CO2 IN PPM
1531217238,"691
"
time,CO2 IN PPM
1531217323,"693
"
time,CO2 IN PPM
1531217407,"686
"
time,CO2 IN PPM
1531217492,"676
"
time,CO2 IN PPM
1531217576,"696
"
time,CO2 IN PPM
1531217661,"688
"
time,CO2 IN PPM
1531217745,"703
"
time,CO2 IN PPM
1531217830,"719
"
time,CO2 IN PPM
1531217914,"690
"
time,CO2 IN PPM
1531217999,"677
"
time,CO2 IN PPM
1531218083,"689
"
time,CO2 IN PPM
1531218168,"681
"
time,CO2 IN PPM
1531218252,"667
"
time,CO2 IN PPM
1531218337,"662
"
time,CO2 IN PPM
1531218421,"668
"
time,CO2 IN PPM
1531218506,"661
"
time,CO2 IN PPM
1531218590,"667
"
time,CO2 IN PPM
1531218675,"659
"
time,CO2 IN PPM
1531218760,"657
"
time,CO2 IN PPM
1531218844,"659
"
time,CO2 IN PPM
1531218929,"651
"
time,CO2 IN PPM
1531219013,"659
"
time,CO2 IN PPM
1531219098,"649
"
time,CO2 IN PPM
1531219182,"649
"
time,CO2 IN PPM
