time,CO2 IN PPM
1531378453,"720
"
time,CO2 IN PPM
1531378538,"720
"
time,CO2 IN PPM
1531378622,"733
"
time,CO2 IN PPM
1531378707,"721
"
time,CO2 IN PPM
1531378791,"724
"
time,CO2 IN PPM
1531378876,"718
"
time,CO2 IN PPM
1531378960,"726
"
time,CO2 IN PPM
1531379045,"732
"
time,CO2 IN PPM
1531379129,"717
"
time,CO2 IN PPM
1531379214,"729
"
time,CO2 IN PPM
1531379298,"731
"
time,CO2 IN PPM
1531379383,"720
"
time,CO2 IN PPM
1531379467,"732
"
time,CO2 IN PPM
1531379552,"743
"
time,CO2 IN PPM
1531379637,"734
"
time,CO2 IN PPM
1531379721,"740
"
time,CO2 IN PPM
1531379806,"754
"
time,CO2 IN PPM
1531379890,"751
"
time,CO2 IN PPM
1531379975,"750
"
time,CO2 IN PPM
1531380059,"786
"
time,CO2 IN PPM
1531380144,"773
"
time,CO2 IN PPM
1531380228,"767
"
time,CO2 IN PPM
1531380313,"764
"
time,CO2 IN PPM
1531380397,"789
"
time,CO2 IN PPM
1531380482,"756
"
time,CO2 IN PPM
1531380566,"744
"
time,CO2 IN PPM
1531380651,"772
"
time,CO2 IN PPM
1531380735,"762
"
time,CO2 IN PPM
1531380820,"763
"
time,CO2 IN PPM
1531380904,"775
"
time,CO2 IN PPM
1531380989,"789
"
time,CO2 IN PPM
1531381073,"795
"
time,CO2 IN PPM
1531381158,"809
"
time,CO2 IN PPM
1531381243,"840
"
time,CO2 IN PPM
1531381327,"821
"
time,CO2 IN PPM
1531381412,"807
"
time,CO2 IN PPM
1531381496,"808
"
time,CO2 IN PPM
1531381581,"790
"
time,CO2 IN PPM
1531381665,"799
"
time,CO2 IN PPM
1531381750,"796
"
time,CO2 IN PPM
1531381834,"781
"
time,CO2 IN PPM
1531381919,"785
"
time,CO2 IN PPM
1531382003,"776
"
time,CO2 IN PPM
1531382088,"766
"
time,CO2 IN PPM
1531382172,"783
"
time,CO2 IN PPM
1531382257,"776
"
time,CO2 IN PPM
1531382341,"765
"
time,CO2 IN PPM
1531382426,"758
"
time,CO2 IN PPM
1531382510,"769
"
time,CO2 IN PPM
1531382595,"765
"
time,CO2 IN PPM
1531382679,"754
"
time,CO2 IN PPM
1531382764,"765
"
time,CO2 IN PPM
1531382848,"749
"
time,CO2 IN PPM
1531382933,"763
"
time,CO2 IN PPM
1531383018,"787
"
time,CO2 IN PPM
1531383102,"760
"
time,CO2 IN PPM
1531383187,"761
"
time,CO2 IN PPM
1531383271,"748
"
time,CO2 IN PPM
1531383356,"760
"
time,CO2 IN PPM
1531383440,"748
"
time,CO2 IN PPM
1531383525,"754
"
time,CO2 IN PPM
1531383609,"757
"
time,CO2 IN PPM
1531383694,"762
"
time,CO2 IN PPM
1531383778,"754
"
time,CO2 IN PPM
1531383863,"758
"
time,CO2 IN PPM
1531383947,"749
"
time,CO2 IN PPM
1531384032,"750
"
time,CO2 IN PPM
1531384116,"777
"
time,CO2 IN PPM
1531384201,"751
"
time,CO2 IN PPM
1531384285,"763
"
time,CO2 IN PPM
1531384370,"768
"
time,CO2 IN PPM
1531384454,"784
"
time,CO2 IN PPM
1531384539,"761
"
time,CO2 IN PPM
1531384624,"765
"
time,CO2 IN PPM
1531384708,"765
"
time,CO2 IN PPM
1531384793,"772
"
time,CO2 IN PPM
1531384877,"757
"
time,CO2 IN PPM
1531384962,"754
"
time,CO2 IN PPM
1531385046,"765
"
time,CO2 IN PPM
1531385131,"765
"
time,CO2 IN PPM
1531385215,"768
"
time,CO2 IN PPM
1531385300,"757
"
time,CO2 IN PPM
1531385384,"765
"
time,CO2 IN PPM
1531385469,"771
"
time,CO2 IN PPM
1531385553,"761
"
time,CO2 IN PPM
1531385638,"761
"
time,CO2 IN PPM
1531385722,"754
"
time,CO2 IN PPM
1531385807,"763
"
time,CO2 IN PPM
1531385891,"766
"
time,CO2 IN PPM
1531385976,"780
"
time,CO2 IN PPM
1531386060,"753
"
time,CO2 IN PPM
1531386145,"752
"
time,CO2 IN PPM
1531386229,"762
"
time,CO2 IN PPM
1531386314,"761
"
time,CO2 IN PPM
1531386399,"748
"
time,CO2 IN PPM
1531386483,"756
"
time,CO2 IN PPM
1531386568,"751
"
time,CO2 IN PPM
1531386652,"766
"
time,CO2 IN PPM
1531386737,"767
"
time,CO2 IN PPM
1531386821,"764
"
time,CO2 IN PPM
1531386906,"754
"
time,CO2 IN PPM
1531386990,"759
"
time,CO2 IN PPM
1531387075,"748
"
time,CO2 IN PPM
1531387159,"759
"
time,CO2 IN PPM
1531387244,"749
"
time,CO2 IN PPM
1531387328,"763
"
time,CO2 IN PPM
1531387413,"741
"
time,CO2 IN PPM
1531387497,"752
"
time,CO2 IN PPM
1531387582,"757
"
time,CO2 IN PPM
1531387666,"749
"
time,CO2 IN PPM
1531387751,"742
"
time,CO2 IN PPM
1531387835,"755
"
time,CO2 IN PPM
