Timestamp,CO2
1540452596,759
1540452606,758
1540452616,757
1540452626,756
1540452636,756
1540452646,755
1540452656,755
1540452666,756
1540452676,757
1540452686,757
1540452696,764
1540452706,778
1540452716,785
1540452726,782
1540452736,776
1540452746,771
1540452756,768
1540452766,768
1540452776,764
1540452786,757
1540452796,755
1540452806,755
1540452816,755
1540452826,755
1540452836,755
1540452846,755
1540452856,755
1540452866,756
1540452876,756
1540452886,756
1540452896,755
1540452906,755
1540452916,755
1540452926,755
1540452936,754
1540452946,753
1540452956,750
1540452966,744
1540452976,742
1540452986,742
1540452996,742
1540453006,742
1540453016,743
1540453026,744
1540453036,744
1540453046,744
1540453056,744
1540453066,745
1540453076,750
1540453086,752
1540453096,753
1540453106,753
1540453116,754
1540453126,754
1540453136,753
1540453146,754
1540453156,757
1540453166,767
1540453176,770
1540453186,769
1540453196,769
1540453206,766
1540453216,760
1540453226,759
1540453236,757
1540453246,757
1540453256,756
1540453266,756
1540453276,756
1540453286,756
1540453296,756
1540453306,757
1540453316,757
1540453326,758
1540453336,758
1540453347,759
1540453357,759
1540453367,760
1540453377,761
1540453387,763
1540453397,768
1540453407,768
1540453417,769
1540453427,768
1540453437,768
1540453447,768
1540453457,765
1540453467,761
1540453477,764
1540453487,768
1540453497,771
1540453507,781
1540453517,786
1540453527,786
1540453537,786
1540453547,785
1540453557,785
1540453567,781
1540453577,776
1540453587,776
1540453597,774
1540453607,773
1540453617,774
1540453627,775
1540453637,775
1540453647,776
1540453657,776
1540453667,776
1540453677,777
1540453687,784
1540453697,785
1540453707,786
1540453717,786
1540453727,788
1540453737,789
1540453747,788
1540453757,788
1540453767,788
1540453777,788
1540453787,789
1540453797,790
1540453807,790
1540453817,790
1540453827,790
1540453837,789
1540453847,790
1540453857,800
1540453867,806
1540453877,806
1540453887,805
1540453897,803
1540453907,801
1540453917,800
1540453927,800
1540453937,800
1540453947,797
1540453957,792
1540453967,793
1540453977,792
1540453987,792
1540453997,799
1540454007,800
1540454017,800
1540454027,800
1540454037,800
1540454047,800
1540454057,800
1540454067,800
1540454077,801
1540454087,802
1540454097,802
1540454107,802
1540454117,801
1540454127,801
1540454137,802
1540454147,804
1540454157,805
1540454167,807
1540454177,808
1540454187,808
1540454197,808
1540454207,807
1540454217,806
1540454227,807
1540454237,808
1540454247,812
1540454257,810
1540454267,810
1540454277,809
1540454287,807
1540454297,803
1540454307,804
1540454317,805
1540454327,805
1540454337,804
1540454347,804
1540454357,804
1540454367,804
1540454377,804
1540454387,803
1540454397,803
1540454407,803
1540454417,802
1540454427,802
1540454437,803
1540454447,804
1540454457,806
1540454467,810
1540454477,813
1540454487,807
1540454497,806
1540454507,806
1540454517,806
1540454527,806
1540454537,805
1540454547,803
1540454557,802
1540454567,801
1540454577,801
1540454587,801
1540454597,802
1540454607,802
1540454617,802
1540454627,802
1540454637,803
1540454647,803
1540454657,803
1540454668,802
1540454678,802
1540454688,801
1540454698,802
1540454708,804
1540454718,805
1540454728,805
1540454738,805
1540454748,806
1540454758,806
1540454768,806
1540454778,806
1540454788,807
1540454798,807
1540454808,807
1540454818,808
1540454828,808
1540454838,812
1540454848,816
1540454858,817
1540454868,817
1540454878,818
1540454888,818
1540454898,820
1540454908,822
1540454918,823
1540454928,824
1540454938,824
1540454948,824
1540454958,824
1540454968,824
1540454978,823
1540454988,823
1540454998,822
1540455008,822
1540455018,821
1540455028,821
1540455038,820
1540455048,821
1540455058,821
1540455068,821
1540455078,821
1540455088,821
1540455098,821
1540455108,820
1540455118,819
1540455128,819
1540455138,821
1540455148,821
1540455158,821
1540455168,820
1540455178,821
1540455188,821
1540455198,821
1540455208,821
1540455218,820
1540455228,820
1540455238,819
1540455248,817
1540455258,816
1540455268,816
1540455278,816
1540455288,817
1540455298,819
1540455308,821
1540455318,821
1540455328,821
1540455338,820
1540455348,818
1540455358,818
1540455368,817
1540455378,817
1540455388,816
1540455398,816
1540455408,816
1540455418,816
1540455428,817
1540455438,818
1540455448,820
1540455458,821
1540455468,820
1540455478,820
1540455488,820
1540455498,820
1540455508,819
1540455518,819
1540455528,818
1540455538,817
1540455548,816
1540455558,816
1540455568,816
1540455578,817
1540455588,814
1540455598,813
1540455608,816
1540455618,816
1540455628,817
1540455638,816
1540455648,816
1540455658,814
1540455668,811
1540455678,816
1540455688,817
1540455698,817
1540455708,818
1540455718,820
1540455728,822
1540455738,821
1540455748,820
1540455758,820
1540455768,820
1540455778,820
1540455788,820
1540455798,820
1540455808,821
1540455818,823
1540455828,824
1540455838,824
1540455848,821
1540455858,821
1540455868,821
1540455878,821
1540455888,821
1540455898,821
1540455908,821
1540455918,821
1540455928,821
1540455938,820
1540455948,821
1540455958,822
1540455968,821
1540455978,822
1540455988,822
1540455999,821
1540456009,821
1540456019,820
1540456029,819
1540456039,819
1540456049,818
1540456059,817
1540456069,817
1540456079,817
1540456089,818
1540456099,818
1540456109,818
1540456119,817
1540456129,817
1540456139,816
1540456149,816
1540456159,810
1540456169,816
1540456179,813
1540456189,809
1540456199,808
1540456209,808
1540456219,808
1540456229,808
1540456239,806
1540456249,805
1540456259,804
1540456269,803
1540456279,803
1540456289,803
1540456299,803
1540456309,803
1540456319,803
1540456329,804
1540456339,804
1540456349,804
1540456359,804
1540456369,804
1540456379,804
1540456389,804
1540456399,803
1540456409,803
1540456419,804
1540456429,804
1540456439,804
1540456449,804
1540456459,803
1540456469,804
1540456479,803
1540456489,803
1540456499,803
1540456509,803
1540456519,804
1540456529,804
1540456539,805
1540456549,805
1540456559,804
1540456569,805
1540456579,804
1540456589,803
1540456599,803
1540456609,804
1540456619,805
1540456629,804
1540456639,802
1540456649,793
1540456659,792
1540456669,791
1540456679,791
1540456689,791
1540456699,790
1540456709,790
1540456719,790
1540456729,790
1540456739,789
1540456749,788
1540456759,786
1540456769,784
1540456779,785
1540456789,786
1540456799,784
1540456809,784
1540456819,785
1540456829,785
1540456839,785
1540456849,785
1540456859,784
1540456869,784
1540456879,785
1540456889,786
1540456899,789
1540456909,794
1540456919,802
1540456929,804
1540456939,805
1540456949,804
1540456959,803
1540456969,803
1540456979,802
1540456989,802
1540456999,803
1540457009,804
1540457019,804
1540457029,804
1540457039,804
1540457049,804
1540457059,803
1540457069,803
1540457079,803
1540457089,802
1540457099,802
1540457109,801
1540457119,800
1540457129,800
1540457139,802
1540457149,802
1540457159,801
1540457169,800
1540457179,800
1540457189,801
1540457199,801
1540457209,800
1540457219,800
1540457229,800
1540457239,800
1540457249,800
1540457259,800
1540457269,800
1540457279,800
1540457289,800
1540457299,800
1540457310,800
1540457320,803
1540457330,812
1540457340,818
1540457350,818
1540457360,817
1540457370,817
1540457380,817
1540457390,816
1540457400,809
1540457410,809
1540457420,807
1540457430,805
1540457440,802
1540457450,801
1540457460,801
1540457470,800
1540457480,800
1540457490,800
1540457500,799
1540457510,793
1540457520,792
1540457530,791
1540457540,788
1540457550,787
1540457560,788
1540457570,788
1540457580,788
1540457590,788
1540457600,789
1540457610,790
1540457620,791
1540457630,791
1540457640,790
1540457650,789
1540457660,788
1540457670,788
1540457680,788
1540457690,788
1540457700,787
1540457710,787
1540457720,788
1540457730,788
1540457740,788
1540457750,788
1540457760,787
1540457770,787
1540457780,787
1540457790,787
1540457800,786
1540457810,786
1540457820,786
1540457830,786
1540457840,786
1540457850,787
1540457860,787
1540457870,787
1540457880,788
1540457890,788
1540457900,788
1540457910,789
1540457920,789
1540457930,788
1540457940,789
1540457950,788
1540457960,788
1540457970,788
1540457980,789
1540457990,791
1540458000,792
1540458010,801
1540458020,806
1540458030,807
1540458040,807
1540458050,806
1540458060,804
1540458070,803
1540458080,805
1540458090,808
1540458100,808
1540458110,814
1540458120,814
1540458130,816
1540458140,816
1540458150,815
1540458160,809
1540458170,807
1540458180,804
1540458190,801
1540458200,800
1540458210,802
1540458220,803
1540458230,804
1540458240,805
1540458250,807
1540458260,813
1540458270,817
1540458280,817
1540458290,815
1540458300,808
1540458310,807
1540458320,808
1540458330,808
1540458340,806
1540458350,805
1540458360,806
1540458370,805
1540458380,805
1540458390,806
1540458400,807
1540458410,807
1540458420,808
1540458430,808
1540458440,808
1540458450,809
1540458460,817
1540458470,818
1540458480,820
1540458490,820
1540458500,818
1540458510,816
1540458520,808
1540458530,807
1540458540,807
1540458550,806
1540458560,805
1540458570,805
1540458580,805
1540458590,805
1540458600,805
1540458610,806
1540458620,807
1540458630,808
1540458641,812
1540458651,816
1540458661,816
1540458671,813
1540458681,816
1540458691,817
1540458701,818
1540458711,823
1540458721,831
1540458731,833
1540458741,836
1540458751,837
1540458761,835
1540458771,828
1540458781,824
1540458791,822
1540458801,819
1540458811,818
1540458821,818
1540458831,817
1540458841,813
1540458851,816
1540458861,809
1540458871,808
1540458881,808
1540458891,808
1540458901,808
1540458911,808
1540458921,813
1540458931,820
1540458941,820
1540458951,820
1540458961,819
1540458971,817
1540458981,813
1540458991,809
1540459001,807
1540459011,806
1540459021,805
1540459031,805
1540459041,805
1540459051,806
1540459061,807
1540459071,808
1540459081,808
1540459091,810
1540459101,815
1540459111,817
1540459121,818
1540459131,818
1540459141,818
1540459151,819
1540459161,820
1540459171,819
1540459181,819
1540459191,821
1540459201,822
1540459211,822
1540459221,824
1540459231,822
1540459241,819
1540459251,817
1540459261,817
1540459271,817
1540459281,818
1540459291,818
1540459301,819
1540459311,818
1540459321,818
1540459331,818
1540459341,818
1540459351,818
1540459361,820
1540459371,821
1540459381,821
1540459391,821
1540459401,823
1540459411,825
1540459421,832
1540459431,832
1540459441,829
1540459451,825
1540459461,824
1540459471,824
1540459481,825
1540459491,824
1540459501,822
1540459511,821
1540459521,821
1540459531,821
1540459541,821
1540459551,821
1540459561,821
1540459571,821
1540459581,821
1540459591,821
1540459601,821
1540459611,820
1540459621,819
1540459631,819
1540459641,818
1540459651,819
1540459661,819
1540459671,818
1540459681,818
1540459691,817
1540459701,817
1540459711,817
1540459721,817
1540459731,817
1540459741,817
1540459751,817
1540459761,813
1540459771,807
1540459781,808
1540459791,807
1540459801,808
1540459811,807
1540459821,807
1540459831,807
1540459841,806
1540459851,806
1540459861,806
1540459871,806
1540459881,807
1540459891,806
1540459901,807
1540459911,808
1540459921,808
1540459931,809
1540459941,814
1540459951,816
1540459962,816
1540459972,816
1540459982,816
1540459992,816
1540460002,816
1540460012,816
1540460022,814
1540460032,817
1540460042,818
1540460052,819
1540460062,821
1540460072,821
1540460082,821
1540460092,822
1540460102,822
1540460112,822
1540460122,821
1540460132,821
1540460142,821
1540460152,819
1540460162,819
1540460172,820
1540460182,830
1540460192,835
1540460202,845
1540460212,853
1540460222,855
1540460232,853
1540460242,852
1540460252,844
1540460262,836
1540460272,833
1540460282,826
1540460292,822
1540460302,821
1540460312,820
1540460322,821
1540460332,821
1540460342,821
1540460352,821
1540460362,821
1540460372,820
1540460382,820
1540460392,820
1540460402,820
1540460412,820
1540460422,821
1540460432,821
1540460442,820
1540460452,819
1540460462,820
1540460472,820
1540460482,819
1540460492,820
1540460502,821
1540460512,821
1540460522,821
1540460532,820
1540460542,820
1540460552,820
1540460562,820
1540460572,820
1540460582,822
1540460592,822
1540460602,822
1540460612,821
1540460622,820
1540460632,819
1540460642,819
1540460652,818
1540460662,817
1540460672,816
1540460682,814
1540460692,809
1540460702,810
1540460712,816
1540460722,816
1540460732,816
1540460742,816
1540460752,816
1540460762,816
1540460772,817
1540460782,817
1540460792,815
1540460802,807
1540460812,806
1540460822,805
1540460832,805
1540460842,804
1540460852,803
1540460862,802
1540460872,802
1540460882,802
1540460892,802
1540460902,802
1540460912,803
1540460922,805
1540460932,806
1540460942,807
1540460952,812
1540460962,817
1540460972,817
1540460982,817
1540460992,816
1540461002,809
1540461012,808
1540461022,805
1540461032,802
1540461042,801
1540461052,804
1540461062,807
1540461072,817
1540461082,821
1540461092,822
1540461102,822
1540461112,822
1540461122,822
1540461132,822
1540461142,824
1540461152,832
1540461162,833
1540461172,835
1540461182,834
1540461192,834
1540461202,832
1540461212,832
1540461222,833
1540461232,839
1540461242,850
1540461252,853
1540461262,850
1540461272,844
1540461282,836
1540461293,826
1540461303,819
1540461313,811
1540461323,807
1540461333,803
1540461343,799
1540461353,791
1540461363,789
1540461373,789
1540461383,788
1540461393,787
1540461403,786
1540461413,786
1540461423,786
1540461433,785
1540461443,784
1540461453,777
1540461463,776
1540461473,776
1540461483,776
1540461493,776
1540461503,775
1540461513,775
1540461523,773
1540461533,771
1540461543,771
1540461553,771
1540461563,771
1540461573,771
1540461583,771
1540461593,771
1540461603,771
1540461613,771
1540461623,771
1540461633,770
1540461643,770
1540461653,770
1540461663,769
1540461673,770
1540461683,769
1540461693,769
1540461703,769
1540461713,769
1540461723,769
1540461733,769
1540461743,769
1540461753,769
1540461763,769
1540461773,768
1540461783,768
1540461793,764
1540461803,760
1540461813,760
1540461823,760
1540461833,760
1540461843,760
1540461853,760
1540461863,761
1540461873,759
1540461883,758
1540461893,758
1540461903,758
1540461913,758
1540461923,759
1540461933,758
1540461943,758
1540461953,759
1540461963,759
1540461973,759
1540461983,759
1540461993,759
1540462003,759
1540462013,759
1540462023,759
1540462033,759
1540462043,758
1540462053,758
1540462063,758
1540462073,758
1540462083,759
1540462093,758
1540462103,758
1540462113,758
1540462123,758
1540462133,758
1540462143,758
1540462153,759
1540462163,759
1540462173,759
1540462183,759
1540462193,759
1540462203,759
1540462213,759
1540462223,759
1540462233,758
1540462243,758
1540462253,758
1540462263,758
1540462273,758
1540462283,758
1540462293,758
1540462303,757
1540462313,757
1540462323,757
1540462333,758
1540462343,758
1540462353,757
1540462363,758
1540462373,758
1540462383,758
1540462393,757
1540462403,757
1540462413,757
1540462423,757
1540462433,757
1540462443,757
1540462453,756
1540462463,756
1540462473,756
1540462483,756
1540462493,756
1540462503,756
1540462513,756
1540462523,756
1540462533,756
1540462543,755
1540462553,754
1540462563,754
1540462573,754
1540462583,754
1540462593,754
1540462604,754
1540462614,753
1540462624,754
1540462634,753
1540462644,752
1540462654,752
1540462664,752
1540462674,753
1540462684,753
1540462694,753
1540462704,753
1540462714,753
1540462724,752
1540462734,752
1540462744,750
1540462754,747
1540462764,745
1540462774,744
1540462784,743
1540462794,743
1540462804,745
1540462814,745
1540462824,745
1540462834,745
1540462844,745
1540462854,744
1540462864,743
1540462874,744
1540462884,744
1540462894,744
1540462904,744
1540462914,743
1540462924,743
1540462934,744
1540462944,745
1540462954,745
1540462964,745
1540462974,745
1540462984,745
1540462994,744
1540463004,744
1540463014,744
1540463024,744
1540463034,744
1540463044,743
1540463054,743
1540463064,743
1540463074,743
1540463084,742
1540463094,742
1540463104,741
1540463114,741
1540463124,742
1540463134,742
1540463144,742
1540463154,742
1540463164,742
1540463174,742
1540463184,743
1540463194,743
1540463204,743
1540463214,744
1540463224,746
1540463234,750
1540463244,748
1540463254,745
1540463264,745
1540463274,751
1540463284,753
1540463294,753
1540463304,754
1540463314,754
1540463324,754
1540463334,753
1540463344,752
1540463354,752
1540463364,752
1540463374,753
1540463384,753
1540463394,755
1540463404,754
1540463414,753
1540463424,753
1540463434,753
1540463444,751
1540463454,745
1540463464,745
1540463474,746
1540463484,745
1540463494,747
1540463504,745
1540463514,745
1540463524,745
1540463534,745
1540463544,744
1540463554,743
1540463564,743
1540463574,743
1540463584,742
1540463594,741
1540463604,740
1540463614,739
1540463624,739
1540463634,739
1540463644,739
1540463654,739
1540463664,739
1540463674,738
1540463684,738
1540463694,738
1540463704,738
1540463714,739
1540463724,738
1540463734,738
1540463744,738
1540463754,738
1540463764,738
1540463774,738
1540463784,737
1540463794,737
1540463804,737
1540463814,736
1540463824,736
1540463834,736
1540463844,736
1540463854,736
1540463864,728
1540463874,728
1540463884,728
1540463894,728
1540463904,727
1540463914,727
1540463925,727
1540463935,726
1540463945,726
1540463955,726
1540463965,726
1540463975,726
1540463985,726
1540463995,725
1540464005,725
1540464015,724
1540464025,724
1540464035,724
1540464045,724
1540464055,724
1540464065,724
1540464075,724
1540464085,723
1540464095,722
1540464105,722
1540464115,721
1540464125,720
1540464135,720
1540464145,720
1540464155,720
1540464165,718
1540464175,717
1540464185,713
1540464195,714
1540464205,715
1540464215,712
1540464225,709
1540464235,709
1540464245,708
1540464255,708
1540464265,707
1540464275,708
1540464285,708
1540464295,708
1540464305,707
1540464315,707
1540464325,707
1540464335,707
1540464345,707
1540464355,707
1540464365,708
1540464375,707
1540464385,707
1540464395,707
1540464405,707
1540464415,707
1540464425,706
1540464435,707
1540464445,705
1540464455,705
1540464465,705
1540464475,705
1540464485,704
1540464495,704
1540464505,704
1540464515,704
1540464525,704
1540464535,704
1540464545,704
1540464555,704
1540464565,704
1540464575,701
1540464585,696
1540464595,695
1540464605,695
1540464615,694
1540464625,693
1540464635,692
1540464645,692
1540464655,692
1540464665,692
1540464675,692
1540464685,691
1540464695,691
1540464705,691
1540464715,691
1540464725,691
1540464735,690
