Date Time, Monitor ID, Location ID, CO2(ppm),Timestamp
26 Oct 2018 11:00,1,1,483,1540522800
26 Oct 2018 11:01,1,1,477,1540522860
26 Oct 2018 11:02,1,1,465,1540522920
26 Oct 2018 11:03,1,1,453,1540522980
26 Oct 2018 11:04,1,1,453,1540523040
26 Oct 2018 11:05,1,1,453,1540523100
26 Oct 2018 11:06,1,1,447,1540523160
26 Oct 2018 11:07,1,1,453,1540523220
26 Oct 2018 11:08,1,1,453,1540523280
26 Oct 2018 11:09,1,1,453,1540523340
26 Oct 2018 11:10,1,1,465,1540523400
26 Oct 2018 11:11,1,1,459,1540523460
26 Oct 2018 11:12,1,1,459,1540523520
26 Oct 2018 11:13,1,1,465,1540523580
26 Oct 2018 11:14,1,1,465,1540523640
26 Oct 2018 11:15,1,1,459,1540523700
26 Oct 2018 11:16,1,1,465,1540523760
26 Oct 2018 11:17,1,1,465,1540523820
26 Oct 2018 11:18,1,1,465,1540523880
26 Oct 2018 11:19,1,1,471,1540523940
26 Oct 2018 11:20,1,1,471,1540524000
26 Oct 2018 11:21,1,1,471,1540524060
26 Oct 2018 11:22,1,1,465,1540524120
26 Oct 2018 11:23,1,1,459,1540524180
26 Oct 2018 11:24,1,1,465,1540524240
26 Oct 2018 11:25,1,1,459,1540524300
26 Oct 2018 11:26,1,1,471,1540524360
26 Oct 2018 11:27,1,1,465,1540524420
26 Oct 2018 11:28,1,1,471,1540524480
26 Oct 2018 11:29,1,1,465,1540524540
26 Oct 2018 11:30,1,1,471,1540524600
26 Oct 2018 11:31,1,1,471,1540524660
26 Oct 2018 11:32,1,1,465,1540524720
26 Oct 2018 11:33,1,1,471,1540524780
26 Oct 2018 11:34,1,1,477,1540524840
26 Oct 2018 11:35,1,1,471,1540524900
26 Oct 2018 11:36,1,1,465,1540524960
26 Oct 2018 11:37,1,1,477,1540525020
26 Oct 2018 11:38,1,1,483,1540525080
26 Oct 2018 11:39,1,1,483,1540525140
26 Oct 2018 11:40,1,1,477,1540525200
26 Oct 2018 11:41,1,1,483,1540525260
26 Oct 2018 11:42,1,1,489,1540525320
26 Oct 2018 11:43,1,1,483,1540525380
26 Oct 2018 11:44,1,1,489,1540525440
26 Oct 2018 11:45,1,1,483,1540525500
26 Oct 2018 11:46,1,1,483,1540525560
26 Oct 2018 11:47,1,1,483,1540525620
26 Oct 2018 11:48,1,1,495,1540525680
26 Oct 2018 11:49,1,1,489,1540525740
26 Oct 2018 11:50,1,1,495,1540525800
26 Oct 2018 11:51,1,1,495,1540525860
26 Oct 2018 11:52,1,1,495,1540525920
26 Oct 2018 11:53,1,1,501,1540525980
26 Oct 2018 11:54,1,1,501,1540526040
26 Oct 2018 11:55,1,1,495,1540526100
26 Oct 2018 11:56,1,1,495,1540526160
26 Oct 2018 11:57,1,1,495,1540526220
26 Oct 2018 11:58,1,1,501,1540526280
26 Oct 2018 11:59,1,1,495,1540526340
26 Oct 2018 12:00,1,1,501,1540526400
26 Oct 2018 12:01,1,1,501,1540526460
26 Oct 2018 12:02,1,1,507,1540526520
26 Oct 2018 12:03,1,1,507,1540526580
26 Oct 2018 12:04,1,1,507,1540526640
26 Oct 2018 12:05,1,1,501,1540526700
26 Oct 2018 12:06,1,1,495,1540526760
26 Oct 2018 12:07,1,1,495,1540526820
26 Oct 2018 12:08,1,1,495,1540526880
26 Oct 2018 12:09,1,1,507,1540526940
26 Oct 2018 12:10,1,1,507,1540527000
26 Oct 2018 12:11,1,1,507,1540527060
26 Oct 2018 12:12,1,1,507,1540527120
26 Oct 2018 12:13,1,1,495,1540527180
26 Oct 2018 12:14,1,1,501,1540527240
26 Oct 2018 12:15,1,1,507,1540527300
26 Oct 2018 12:16,1,1,507,1540527360
26 Oct 2018 12:17,1,1,513,1540527420
26 Oct 2018 12:18,1,1,513,1540527480
26 Oct 2018 12:19,1,1,513,1540527540
26 Oct 2018 12:20,1,1,513,1540527600
26 Oct 2018 12:21,1,1,513,1540527660
26 Oct 2018 12:22,1,1,513,1540527720
26 Oct 2018 12:23,1,1,513,1540527780
26 Oct 2018 12:24,1,1,519,1540527840
26 Oct 2018 12:25,1,1,519,1540527900
26 Oct 2018 12:26,1,1,525,1540527960
26 Oct 2018 12:27,1,1,519,1540528020
26 Oct 2018 12:28,1,1,525,1540528080
26 Oct 2018 12:29,1,1,525,1540528140
26 Oct 2018 12:30,1,1,519,1540528200
26 Oct 2018 12:31,1,1,519,1540528260
26 Oct 2018 12:32,1,1,513,1540528320
26 Oct 2018 12:33,1,1,513,1540528380
26 Oct 2018 12:34,1,1,507,1540528440
26 Oct 2018 12:35,1,1,507,1540528500
26 Oct 2018 12:36,1,1,501,1540528560
26 Oct 2018 12:37,1,1,507,1540528620
26 Oct 2018 12:38,1,1,501,1540528680
26 Oct 2018 12:39,1,1,495,1540528740
26 Oct 2018 12:40,1,1,501,1540528800
26 Oct 2018 12:41,1,1,501,1540528860
26 Oct 2018 12:42,1,1,507,1540528920
26 Oct 2018 12:43,1,1,507,1540528980
26 Oct 2018 12:44,1,1,495,1540529040
26 Oct 2018 12:45,1,1,495,1540529100
26 Oct 2018 12:46,1,1,495,1540529160
26 Oct 2018 12:47,1,1,489,1540529220
26 Oct 2018 12:48,1,1,495,1540529280
26 Oct 2018 12:49,1,1,495,1540529340
26 Oct 2018 12:50,1,1,489,1540529400
26 Oct 2018 12:51,1,1,489,1540529460
26 Oct 2018 12:52,1,1,483,1540529520
26 Oct 2018 12:53,1,1,483,1540529580
26 Oct 2018 12:54,1,1,477,1540529640
26 Oct 2018 12:55,1,1,483,1540529700
26 Oct 2018 12:56,1,1,477,1540529760
26 Oct 2018 12:57,1,1,483,1540529820
26 Oct 2018 12:58,1,1,495,1540529880
26 Oct 2018 12:59,1,1,507,1540529940
26 Oct 2018 13:00,1,1,519,1540530000
26 Oct 2018 13:01,1,1,519,1540530060
26 Oct 2018 13:02,1,1,513,1540530120
26 Oct 2018 13:03,1,1,507,1540530180
26 Oct 2018 13:04,1,1,507,1540530240
26 Oct 2018 13:05,1,1,501,1540530300
26 Oct 2018 13:06,1,1,513,1540530360
26 Oct 2018 13:07,1,1,519,1540530420
26 Oct 2018 13:08,1,1,519,1540530480
26 Oct 2018 13:09,1,1,525,1540530540
26 Oct 2018 13:10,1,1,519,1540530600
26 Oct 2018 13:11,1,1,513,1540530660
26 Oct 2018 13:12,1,1,513,1540530720
26 Oct 2018 13:13,1,1,519,1540530780
26 Oct 2018 13:14,1,1,537,1540530840
26 Oct 2018 13:15,1,1,543,1540530900
26 Oct 2018 13:16,1,1,543,1540530960
